pair,pixel,fourier,curvature,centroid,texture,total
5.right - 12.left,0.29750234,0.4881999783832269,0.9062775809168114,0.18011777809293447,0.3448909196361592,0.3458804979530408
5.bottom - 12.top,0.6392157,0.3086354458697468,1.0,0.4831113395275607,0.3234222275403833,0.5848123297626424
5.right - 13.left,0.23426704,0.2396540095593936,0.938804603518144,0.17225073577103012,0.3043263885741513,0.273937728088238
5.bottom - 13.top,0.4436041,0.3352483069201594,0.903620099737824,0.3340860008278122,0.3307041285395256,0.43900343270472825
5.right - 14.left,0.12159197,0.34899354319233755,1.0,0.2777080373369505,0.3231163258425158,0.2162107635271459
5.bottom - 14.top,0.2990196,0.47033963203340545,0.905066913551184,0.40771977665502085,0.40065293086131,0.3620523112644882
5.right - 15.left,0.15170401,0.18695048625375404,0.9393370533698389,0.27220422917364645,0.3161469686011122,0.21707961448565055
5.bottom - 15.top,0.2027311,0.1545969661506754,0.9029005324167784,0.273522227606328,0.2092594822035877,0.23711855771031515
6.right - 0.left,0.1480859,0.5736722337659994,1.0,0.1983684939371043,0.30574832984773775,0.25152061751948684
6.bottom - 0.top,0.3152194,0.4269083048223123,1.0,0.32647549835514805,0.3324857932918383,0.3629167633682029
6.right - 1.left,0.1259337,0.6105178526982067,1.0,0.5235261590691369,0.26863185665238504,0.25224487213068447
6.bottom - 1.top,0.3343604,0.5985752194669627,1.0,0.20970594000022896,0.31152977988391517,0.38554806758596283
6.right - 2.left,0.11732026,0.5253237847326911,1.0,0.34603591081239626,0.30991699563473796,0.23295005466914817
6.bottom - 2.top,0.050420165,0.22456582213542553,1.0,0.18065369180854343,0.26632915903669124,0.14341629825100433
6.right - 3.left,0.13394025,0.46740127615233484,0.9837814319340069,0.17792448706313316,0.35919754495328315,0.23450335134733363
6.bottom - 3.top,0.26872084,0.4795052545489268,1.0,0.4234231459707344,0.31705156482138536,0.3389314240486859
6.right - 4.left,0.1840336,0.39375393651588086,0.9390875951588429,0.3371059839717115,0.28800900078941516,0.2608094914401091
6.bottom - 4.top,0.059220355,0.6007547111759179,1.0,0.12076394157918617,0.35755399192617154,0.19332331551948978
6.right - 5.left,0.36174136,0.2736961930475917,1.0,0.30188457658022183,0.29452754830608613,0.3751355518054738
6.bottom - 5.top,0.32978526,0.45782461898458854,1.0,0.29118314611009377,0.380421568554533,0.37923345934417635
6.right - 7.left,0.13930906,0.44844423276853157,1.0,0.3605021930239441,0.29481142854056713,0.23986701877965805
6.bottom - 7.top,0.086391225,0.5346938028545123,1.0,0.3403679592654717,0.3511289679811265,0.21607453063169732
6.right - 8.left,0.120681606,0.5035515109877501,0.9957967872887997,0.450027584838336,0.3222690397734439,0.23935040028083435
6.bottom - 8.top,0.17864145,0.5794685688290583,1.0,0.42297718843250637,0.35776154733202625,0.28992088095690033
6.right - 9.left,0.15014005,0.4758418237886961,0.9500933480364062,0.3019217040302413,0.33402699996732516,0.24868566644017337
6.bottom - 9.top,0.07392624,0.4784846696768164,1.0,0.038383504046900496,0.34585658914732137,0.1861016699738522
6.right - 10.left,0.22238562,0.45818773443834987,1.0,0.3646553106104693,0.25809576048719046,0.29553104262012336
6.bottom - 10.top,0.14028946,0.4898962111182094,1.0,0.2461114313916844,0.18082037089455025,0.22757984574719384
6.right - 11.left,0.18328664,0.44757788097636525,1.0,0.3396338879966171,0.2700526529375083,0.26704538479797785
6.bottom - 11.top,0.014052288,0.33961081678439387,1.0,0.0417453347337947,0.34985444629912754,0.13087039413845333
6.right - 12.left,0.19696544,0.29112030399155464,1.0,0.3439484393845062,0.31526753564844795,0.26571201619876667
6.bottom - 12.top,0.025093371,0.5140499180355956,1.0,0.04729029971313429,0.325734343354979,0.1539083014175065
6.right - 13.left,0.14470123,0.5472088686195635,1.0,0.34025834226829477,0.31574526083834714,0.25459918934122255
